  0.0100000000   0.0002337818   0.0000000000   0.0000000000   0.0000000000   0.0000000000
  0.0109969990   0.0003109090   0.0000000000   0.0000000000   0.0000000000   0.0000000000
  0.0119939980   0.0004033691   0.0000000000   0.0000000000   0.0000000000   0.0000000000
  0.0129909970   0.0005125523   0.0000000000   0.0000000000   0.0000000000   0.0000000000
  0.0139879960   0.0006398486   0.0000000000   0.0000000000   0.0000000000   0.0000000000
  0.0149849950   0.0007866482   0.0000000000   0.0000000000   0.0000000000   0.0000000000
  0.0159819940   0.0009543411   0.0000000001   0.0000000000   0.0000000000   0.0000000000
  0.0169789930   0.0011443174   0.0000000004   0.0000000000   0.0000000000   0.0000000000
  0.0179759920   0.0013579674   0.0000000019   0.0000000000   0.0000000000   0.0000000000
  0.0189729910   0.0015966809   0.0000000075   0.0000000000   0.0000000000   0.0000000000
  0.0199699900   0.0018618482   0.0000000252   0.0000000000   0.0000000000   0.0000000000
  0.0209669890   0.0021548594   0.0000000751   0.0000000000   0.0000000000   0.0000000000
  0.0219639880   0.0024771045   0.0000002019   0.0000000000   0.0000000000   0.0000000000
  0.0229609870   0.0028299736   0.0000004964   0.0000000000   0.0000000000   0.0000000000
  0.0239579860   0.0032148569   0.0000011285   0.0000000001   0.0000000000   0.0000000000
  0.0249549850   0.0036331445   0.0000023944   0.0000000002   0.0000000000   0.0000000000
  0.0259519840   0.0040862264   0.0000047803   0.0000000007   0.0000000000   0.0000000000
  0.0269489830   0.0045754928   0.0000090419   0.0000000019   0.0000000000   0.0000000000
  0.0279459820   0.0051023337   0.0000162995   0.0000000048   0.0000000000   0.0000000000
  0.0289429810   0.0056681392   0.0000281441   0.0000000112   0.0000000000   0.0000000000
  0.0299399800   0.0062742996   0.0000467527   0.0000000249   0.0000000000   0.0000000000
  0.0309369790   0.0069222047   0.0000750044   0.0000000522   0.0000000000   0.0000000000
  0.0319339780   0.0076132448   0.0001165936   0.0000001045   0.0000000001   0.0000000000
  0.0329309770   0.0083488100   0.0001761330   0.0000002000   0.0000000002   0.0000000000
  0.0339279760   0.0091302903   0.0002592413   0.0000003679   0.0000000004   0.0000000000
  0.0349249750   0.0099590758   0.0003726104   0.0000006526   0.0000000009   0.0000000000
  0.0359219740   0.0108365566   0.0005240492   0.0000011196   0.0000000019   0.0000000000
  0.0369189730   0.0117641228   0.0007225008   0.0000018628   0.0000000038   0.0000000000
  0.0379159720   0.0127431642   0.0009780327   0.0000030130   0.0000000073   0.0000000000
  0.0389129710   0.0137750709   0.0013017998   0.0000047485   0.0000000137   0.0000000000
  0.0399099700   0.0148612327   0.0017059819   0.0000073062   0.0000000247   0.0000000000
  0.0409069690   0.0160030391   0.0022036972   0.0000109944   0.0000000433   0.0000000000
  0.0419039680   0.0172018795   0.0028088963   0.0000162070   0.0000000739   0.0000000000
  0.0429009670   0.0184591429   0.0035362380   0.0000234380   0.0000001227   0.0000000000
  0.0438979660   0.0197762177   0.0044009527   0.0000332967   0.0000001990   0.0000000000
  0.0448949650   0.0211544916   0.0054186962   0.0000465235   0.0000003156   0.0000000000
  0.0458919640   0.0225953511   0.0066053976   0.0000640048   0.0000004900   0.0000000000
  0.0468889630   0.0241001816   0.0079771056   0.0000867881   0.0000007461   0.0000000000
  0.0478859620   0.0256703666   0.0095498356   0.0001160957   0.0000011152   0.0000000001
  0.0488829610   0.0273072871   0.0113394214   0.0001533377   0.0000016384   0.0000000001
  0.0498799600   0.0290123216   0.0133613738   0.0002001231   0.0000023685   0.0000000002
  0.0508769590   0.0307868446   0.0156307471   0.0002582692   0.0000033721   0.0000000004
  0.0518739580   0.0326322262   0.0181620175   0.0003298094   0.0000047327   0.0000000007
  0.0528709570   0.0345498313   0.0209689720   0.0004169976   0.0000065532   0.0000000012
  0.0538679560   0.0365410179   0.0240646104   0.0005223121   0.0000089589   0.0000000019
  0.0548649550   0.0386071363   0.0274610609   0.0006484557   0.0000121013   0.0000000030
  0.0558619540   0.0407495277   0.0311695078   0.0007983536   0.0000161609   0.0000000047
  0.0568589530   0.0429695225   0.0352001339   0.0009751495   0.0000213512   0.0000000073
  0.0578559520   0.0452684389   0.0395620747   0.0011821989   0.0000279220   0.0000000111
  0.0588529510   0.0476475805   0.0442633851   0.0014230605   0.0000361634   0.0000000166
  0.0598499500   0.0501082353   0.0493110190   0.0017014847   0.0000464093   0.0000000246
  0.0608469490   0.0526516729   0.0547108180   0.0020214017   0.0000590410   0.0000000359
  0.0618439480   0.0552791426   0.0604675121   0.0023869063   0.0000744907   0.0000000517
  0.0628409470   0.0579918711   0.0665847282   0.0028022425   0.0000932448   0.0000000735
  0.0638379460   0.0607910604   0.0730650078   0.0032717857   0.0001158474   0.0000001034
  0.0648349450   0.0636778850   0.0799098314   0.0038000249   0.0001429026   0.0000001439
  0.0658319440   0.0666534898   0.0871196500   0.0043915431   0.0001750776   0.0000001981
  0.0668289430   0.0697189873   0.0946939210   0.0050509979   0.0002131050   0.0000002701
  0.0678259420   0.0728754552   0.1026311502   0.0057831012   0.0002577844   0.0000003647
  0.0688229410   0.0761239341   0.1109289362   0.0065925990   0.0003099842   0.0000004879
  0.0698199400   0.0794654246   0.1195840186   0.0074842509   0.0003706430   0.0000006472
  0.0708169390   0.0829008850   0.1285923284   0.0084628105   0.0004407700   0.0000008513
  0.0718139380   0.0864312289   0.1379490397   0.0095330049   0.0005214454   0.0000011108
  0.0728109370   0.0900573227   0.1476486227   0.0106995164   0.0006138207   0.0000014384
  0.0738079360   0.0937799834   0.1576848974   0.0119669633   0.0007191176   0.0000018489
